Аэродромный;Аэр/о/дро́м/н/ый.

Заколоть 3;За/кол/о́/ть³ (начать коло́ть²).

Заушательский;За/уш/а́/тель/ск/ий.

Заушательство;За/уш/а́/тель/ств/о.

Заушать;За/уш/а́/ть.

Заушение;За/уш/е́ни/е [й/э].

Заушить;За/уш/и́/ть.

Заушница;За/у́ш/ниц/а.

Заушный;За/у́ш/н/ый.

Зафальшивить;За/фальш/и́в/и/ть.

Зафантазировать;За/фантаз/и́р/ова/ть.

Зафантазироваться;За/фантаз/и́р/ова/ть/ся.

Зафаршированный;За/фарш/ир/о́ва/нн/ый.

Зафаршировать;За/фарш/ир/ова́/ть.

Зафиксированный;За/фикс/и́р/ова/нн/ый.

Зафиксировать;За/фикс/и́р/ова/ть.

Зафилософствовать;За/фил/о/со́ф/ств/ова/ть.

Зафилософствоваться;За/фил/о/со́ф/ств/ова/ть/ся.

Зафлаженный;За/фла́ж/енн/ый.

Зафлажить;За/фла́ж/и/ть.

Зафонтанировать;За/фонтан/и́р/ова/ть.

Заформализованный;За/форм/ал/из/о́ва/нн/ый.

Заформованный;За/форм/о́ва/нн/ый.

Зафорсить;За/форс/и́/ть.

Зафрантить;За/франт/и́/ть.

Зафрахтованный;За/фрахт/о́ва/нн/ый.

Зафрахтовать;За/фрахт/ова́/ть.

Зафыркать;За/фы́р/ка/ть.

Зафырчать;За/фыр/ча́/ть.

Захаживать;За/ха́ж/ива/ть.

Заавансированный;За/аванс/и́р/ова/нн/ый.

Заавансировать;За/аванс/и́р/ова/ть.

Заактированный;За/акт/и́р/ова/нн/ый.

Заактировать;За/акт/и́р/ова/ть.

Заамударьинский;За/аму/дарь/и́н/ск/ий.

Зааплодировать;За/аплод/и́р/ова/ть.

Заарендованный;За/аренд/о́ва/нн/ый.

Заарендовать;За/аренд/ова́/ть.

Заарендовывать;За/аренд/о́в/ыва/ть.

Заарестованный;За/арест/о́ва/нн/ый.

Заарестовать;За/арест/ова́/ть.

Заарестовывать;За/арест/о́в/ыва/ть.

Заарканенный;За/арка́н/енн/ый.

Заарканивать;За/арка́н/ива/ть.

Заарканить;За/арка́н/и/ть.

Заартачиться;За/арта́ч/и/ть/ся.

Заасфальтированный;За/асфальт/и́р/ова/нн/ый.

Заасфальтировать;За/асфальт/и́р/ова/ть.

Заатлантический;За/атланти́ч/еск/ий.

Заатмосферный;За/атмосфе́р/н/ый.

Заахать;За/а́х/а/ть.

Забава;Заба́в/а.

Забавить;Заба́в/и/ть.

Забавник;Заба́в/ник/.

Забавница;Заба́в/ниц/а.

Забавный;Заба́в/н/ый.

Забайкалец;За/байка́л/ец/.

Забайкальский;За/байка́ль/ск/ий.

Затрезвонить;За/тре/зво́н/и/ть.

Затренькать;За/тре́нь/ка/ть.

Затрепетать;За/трепет/а́/ть.

Затрепыхаться;За/трепых/а́/ть/ся.

Затрещать;За/трещ/а́/ть.

Затрещина;За/тре́щ/ин/а.

Затронутый;За/тро́/ну/т/ый.

Затронуть;За/тро́/ну/ть.

Затрубить;За/труб/и́/ть.

Затруднение;За/трудн/е́ни/е [й/э].

Затруднительный;За/трудн/и́/тельн/ый.

Затруднённый;За/трудн/ённ/ый.

Затрусить;За/тру́с/и/ть.

Затрусить 1;За/трус/и́/ть¹ (засы́пать).

Затрусить 2;За/трус/и́/ть² (начать труси́ть²).

Затрёпанный;За/трёп/а/нн/ый.

Затужить;За/туж/и́/ть.

Затуманенный;За/тума́н/енн/ый.

Затупленный;За/ту́пл/енн/ый.

Затурканный;За/ту́рк/а/нн/ый.

Забалканский;За/балка́н/ск/ий.

Забалластированный;За/балласт/и́р/ова/нн/ый.

Забалластировать;За/балласт/и́р/ова/ть.

Забаллотированный;За/баллот/и́р/ова/нн/ый.

Забаллотировать;За/баллот/и́р/ова/ть.

Забаловать 1;За/балова́/ть¹ (ребенка).

Забаловать 2;За/балова́/ть² (начать баловать).

Забаловаться;За/балова́/ть/ся.

Забалтываться 2;За/ба́лт/ыва/ть/ся² (от за/болт/а́/ть/ся²).

Забарабанить;За/бараба́н/и/ть.

Забаррикадированный;За/баррикад/и́р/ова/нн/ый.

Забасить;За/бас/и́/ть.

Забастовать;За/бастова́/ть.

Забастовка;За/басто́в/к/а.

Забастовочный;За/басто́в/оч/н/ый.

Забастовщик;За/басто́в/щик/.

Забастовщица;За/басто́в/щиц/а.

Забаюкать;За/ба/ю́/ка/ть.

Забвение;Забв/е́ни/е [й/э].

Забвенный;Забв/е́нн/ый.

Забег;За/бе́г/.

Забегаловка;За/бег/а́/л/ов/к/а.

Забегать;За/бе́г/а/ть, сов. (начать бегать).

Забегать;За/бег/а́/ть, несов. (к за/беж/а́/ть).

Забегаться;За/бе́г/а/ть/ся, сов. (устать от беготни).

Забежать;За/беж/а́/ть.

Забелённый;За/бел/ённ/ый.

Застиранный;За/сти́р/а/нн/ый.

Застирать;За/стир/а́/ть.

Застить;За́ст/и/ть, за́щ/у.

Застичь;За/сти́чь и за/сти́г/ну/ть.

Застланный;За́/стл/а/нн/ый и за/сте́л/енн/ый.

Застлать;За/стл/а́/ть и за/стел/и́/ть, за/стел/ю́, за/сте́л/ет.

Застлаться;За/стл/а́/ть/ся, за/сте́л/ет/ся.

Застогованный;За/стог/о́ва/нн/ый.

Застоговать;За/стог/ова́/ть.

Застой;За/сто́й/.

Застойный;За/сто́й/н/ый.

Застолбить;За/столб/и́/ть.

Застолблённый;За/столбл/ённ/ый.

Застолье;За/сто́ль/е [й/э].

Застольная;За/сто́ль/н/ая, -ой.

Застольный;За/сто́ль/н/ый.

Застонать;За/стон/а́/ть, за/стон/у́ и за/стон/а́/ю.

Застопоренный;За/сто́пор/енн/ый.

Застоялый;За/сто/я́/л/ый.

Застояться;За/сто/я́/ть/ся.

Застраивание;За/стра́/ива/ни/е [й/э].

Застрахованный;За/страх/о́ва/нн/ый.

Захандрить;За/хандр/и́/ть.

Захапанный;За/ха́п/а/нн/ый.

Захапать;За/ха́п/а/ть.

Захарканный;За/ха́рк/а/нн/ый (от за/ха́рк/а/ть¹).

Захаркать 1;За/ха́рк/а/ть¹ (заплевать).

Захаркать 2;За/ха́рк/а/ть² (начать харкать).

Захаянный;За/ха́/я/нн/ый.

Захаять;За/ха́/я/ть.

Захваленный;За/хва́л/енн/ый.

Захвалить;За/хвал/и́/ть.

Захвастаться 2;За/хва́ст/а/ть/ся² (увлечься, хвастаясь).

Захват;За/хва́т/.

Захватанный;За/хва́т/а/нн/ый (от за/хват/а́/ть).

Захватать;За/хват/а́/ть.

Захватить;За/хват/и́/ть.

Захватнический;За/хва́т/нич/еск/ий.

Захватный;За/хва́т/н/ый.

Захватчик;За/хва́т/чик/.

Захватывание;За/хва́т/ыва/ни/е [й/э].

Захватывающий 1;За/хва́т/ыва/ющ/ий¹ (от за/хва́т/ыва/ть¹).

Захватывающий 2;За/хва́т/ыва/ющ/ий² (от за/хва́т/ыва/ть²).

Захваченный;За/хва́ч/енн/ый (от за/хват/и́/ть).

Захворать;За/хвор/а́/ть.

Зеркальце;Зе́ркаль/ц/е.

Зернистый;Зерн/и́ст/ый.

Зернить;Зерн/и́/ть.

Зерно;Зерн/о́.

Зерноаспиратор;Зерн/о/аспир/а́тор/.

Зернобобовый;Зерн/о/боб/о́в/ый.

Зерновидный;Зерн/о/ви́д/н/ый.

Зерновка;Зерн/о́в/к/а.

Зерновоз;Зерн/о/во́з/.

Зерновозка;Зерн/о/во́з/к/а.

Зерновой;Зерн/ов/о́й.

Зерновые;Зерн/ов/ы́е, -ы́х.

Зернодробилка;Зерн/о/дроб/и́/л/к/а.

Зернодробильный;Зерн/о/дроб/и́/ль/н/ый.

Зернокомбайн;Зерн/о/комба́йн/.

Зернометатель;Зерн/о/мет/а́/тель/.

Зерномоечный;Зерн/о/мо́/еч/н/ый.

Зернообразный;Зерн/о/обра́з/н/ый.

Зерноочистительный;Зерн/о/о/чист/и́/тельн/ый.

Зерноочистка;Зерн/о/о/чи́ст/к/а.

Зерноплющилка;Зерн/о/плющ/и́/л/к/а.

Зернопогрузчик;Зерн/о/по/гру́з/чик/.

Зернопоставки;Зерн/о/по/ста́в/к/и.

Зернопровод;Зерн/о/про/во́д/.

Зернопульт;Зерн/о/пу́льт/.

Зерносклад;Зерн/о/скла́д/.

Зерносовхоз;Зерн/о/сов/хо́з/.

Зерносортировальный;Зерн/о/сорт/ир/ова́/ль/н/ый.

Зернённый;Зерн/ённ/ый, прич.

Зернёный;Зерн/ён/ый, прил.

Значительность;Знач/и́/тельн/ость/.

Значительный;Знач/и́/тельн/ый.

Значить;Зна́ч/и/ть.

Значиться;Зна́ч/и/ть/ся.

Значкист;Знач/к/и́ст/.

Значкистка;Знач/к/и́ст/к/а.

Значок;Знач/о́к/.

Знающий;Зна́/ющ/ий (человек).

Знающийся;Зна́/ющ/ий/ся (с кем-л.).

Знобить;Зноб/и́/ть.

Знобкий;Зно́б/к/ий.

Зной;Зной/.

Знойный;Зно́й/н/ый.

Зоб;Зоб/.

Зобастый;Зоб/а́ст/ый.

Зобатый;Зоб/а́т/ый.

Зобный;Зо́б/н/ый.

Зов;Зов/.

Зовомый;Зов/о́м/ый.

Зовущий;Зов/у́щ/ий.

Зовущийся;Зов/у́щ/ий/ся.

Зодиак;Зодиа́к/.

Зодиакальный;Зодиак/а́льн/ый.

Зодческий;Зо́дч/еск/ий.

Зодчество;Зо́дч/еств/о.

Зодчий;Зо́дч/ий, -его.

Зозуля;Зозу́л/я.

Зоил;Зои́л/.

Зола;Зол/а́.

Золение;Зол/е́ни/е [й/э].

Звуковоспроизводящий;Звук/о/вос/производ/я́щ/ий.

Звукозаписывающий;Звук/о/за/пи́с/ыва/ющ/ий.

Звукозапись;Звук/о/за́/пись/.

Звукозащитный;Звук/о/защи́т/н/ый.

Звукоизолирующий;Звук/о/изол/и́р/у/ющ/ий.

Звукоизоляционный;Звук/о/изол/яци/о́нн/ый.

Звукоизоляция;Звук/о/изол/я́ци/я [й/а].

Звукомаскировка;Звук/о/маск/ир/о́в/к/а.

Звукомерный;Звук/о/ме́р/н/ый.

Звукометрический;Звук/о/метр/и́ческ/ий.

Звукометрия;Звук/о/ме́тр/и/я [й/а].

Звуконепроницаемость;Звук/о/не/про/ниц/а́/ем/ость/.

Звуконепроницаемый;Звук/о/не/про/ниц/а́/ем/ый.

Звуконоситель;Звук/о/нос/и́/тель/.

Звукообразование;Звук/о/образова́/ни/е [й/э].

Звукооператор;Звук/о/опер/а́тор/.

Звукооператорский;Звук/о/опер/а́тор/ск/ий.

Звукопись;Зву́к/о/пись/.

Звукопоглощающий;Звук/о/по/глощ/а́/ющ/ий.

Звукопоглощение;Звук/о/по/глощ/е́ни/е [й/э].

Звукоподражание;Звук/о/подража́/ни/е [й/э].

Звукоподражатель;Звук/о/подража́/тель/.

Звукоподражательный;Звук/о/подража́/тельн/ый.

Звукоприёмник;Звук/о/приём/ник/.

Звукопроводимость;Звук/о/про/вод/и́м/ость/.

Звукопроводность;Звук/о/про/во́д/н/ость/.

Звукопроводящий;Звук/о/про/вод/я́щ/ий.

Звукопроницаемость;Звук/о/про/ниц/а́/ем/ость/.

Звукопроницаемый;Звук/о/про/ниц/а́/ем/ый.

Звукорежиссёр;Звук/о/режисс/ёр/.

Заставочный 1;За/ста́в/оч/н/ый¹ (от за/ста́в/к/а¹).

Заставочный 2;За/ста́в/оч/н/ый² (от за/ста́в/к/а²).

Застаиваться;За/ста́/ива/ть/ся.

Застарелый;За/стар/е́л/ый.

Застареть;За/стар/е́/ть.

Застать;Заста́/ть, заста́/н/у.

Застающий;Заста/ю́щ/ий.

Застегать;За/стег/а́/ть.

Застеклить;За/стекл/и́/ть.

Застеклённый;За/стекл/ённ/ый.

Застеленный;За/сте́л/енн/ый и за́/стл/а/нн/ый.

Застелить;За/стел/и́/ть и за/стл/а́/ть, за/стел/ю́, за/сте́л/ет.

Застенографированный;За/стен/о/граф/и́р/ова/нн/ый.

Застенографировать;За/стен/о/граф/и́р/ова/ть.

Застенок;За/сте́н/ок/.

Застенчивость;Засте́нчив/ость/.

Застенчивый;Засте́нчив/ый.

Застесняться;За/с/тесн/я́/ть/ся.

Застигнувший;За/сти́г/ну/вш/ий и за/сти́г/ш/ий.

Застигнутый;За/сти́г/ну/т/ый.

Застигнуть;За/сти́г/ну/ть и за/сти́чь.

Застилка;За/сти́л/к/а.

Застилочный;За/сти́л/оч/н/ый.

Застёгнутый;За/стёг/ну/т/ый.

Застёжка;За/стёж/к/а.

Заругать;За/руг/а́/ть.

Заругаться;За/руг/а́/ть/ся.

Зарукавье;За/рук/а́вь/е [й/э].

Зарумяненный;За/румя́н/енн/ый.

Заручаться;Заруч/а́/ть/ся.

Заручиться;Заруч/и́/ть/ся.

Заручка;Зару́ч/к/а.

Зарыбить;За/ры́б/и/ть.

Зарыбление;За/рыбл/е́ни/е [й/э].

Зарыбленный;За/ры́бл/енн/ый.

Зарыблять;За/рыбл/я́/ть.

Зарываться 2;За/рыв/а́/ть/ся² (от за/рв/а́/ть/ся).

Зарыдать;За/рыд/а́/ть.

Зарысить;За/рыс/и́/ть.

Зарытый;За/ры́/т/ый.

Зарычать;За/рыч/а́/ть.

Заря;Зар/я́.

Зарябить 1;За/ряб/и́/ть¹ (покрыть рябью).

Заряд;За/ря́д/.

Зарядка;Заря́д/к/а.

Зарядный;За/ря́д/н/ый.

Зарядовый;За/ря́д/ов/ый.

Заряжение;За/ряж/е́ни/е [й/э].

Запеленать;За/пелен/а́/ть.

Запеленгованный;За/пеленг/о́ва/нн/ый.

Запеленговать;За/пеленг/ова́/ть.

Запелёнатый;За/пелён/а/т/ый и за/пелён/у/т/ый.

Запененный;За/пе́н/енн/ый.

Запертый;За́/пер/т/ый.

Запершить;За/перш/и́/ть.

Запестреть;За/пестр/е́/ть.

Запестрить;За/пестр/и́/ть.

Запетлять;За/петл/я́/ть.

Запетушиться;За/петуш/и́/ть/ся.

Запетый;За/пе́/т/ый.

Запеть 1;За/пе́/ть¹, за/по/ю́ (опошлить).

Запеть 2;За/пе́/ть², за/по/ю́ (начать петь).

Запечалиться;За/печа́л/и/ть/ся.

Запечатанный;За/печа́т/а/нн/ый.

Запечатать 1;За/печа́т/а/ть¹ (заклеить).

Запечатать 2;За/печа́т/а/ть² (начать печатать).

Запечататься;За/печа́т/а/ть/ся (от за/печа́т/а/ть¹).

Запечатлённый;За/печатл/ённ/ый/.

Запечек;За/пе́ч/ек/.

Запечный;За/пе́ч/н/ый.

Запечённый;За/печ/ённ/ый.

Закоптить 1;За/копт/и́/ть¹ (стекло).

Закоптить 2;За/копт/и́/ть² (начать коптить).

Закоптиться;За/копт/и́/ть/ся.

Закопчённый;За/копч/ённ/ый (от за/копт/и́/ть¹).

Закоренелый;За/корен/е́/л/ый.

Закоренеть;За/корен/е́/ть.

Закормить;За/корм/и́/ть.

Закормленный;За/ко́рмл/енн/ый.

Закорюка;Закорю́к/а.

Закорючина;Закорю́ч/ин/а.

Закорючка;Закорю́ч/к/а.

Закосить 1;За/кос/и́/ть¹ (скосить чужое).

Закосить 2;За/кос/и́/ть² (от кос/и́/ть¹).

Закосить 3;За/кос/и́/ть³ (от кос/и́/ть²).

Закоснелый;За/косн/е́/л/ый.

Закоснеть;За/косн/е́/ть.

Закостенелый;За/кост/ен/е́/л/ый.

Закостенеть;За/кост/ен/е́/ть.

Закоулок;Зако/у́л/ок/ [ср.: у́л/иц/а, пере/у́л/ок/, за/у́л/ок/].

Закоченелый;За/кочен/е́/л/ый.

Закоченеть;За/кочен/е́/ть.

Закошенный;За/ко́ш/енн/ый (от за/кос/и́/ть¹).

Закрадываться;За/кра́д/ыва/ть/ся.

Закраек;За/кра́/ек/.

Закраина;За/кра́/ин/а.

Закрапать;За/кра́п/а/ть, за/кра́пл/ю и за/кра́п/а/ю.

Закрапывать;За/кра́п/ыва/ть.

Зарекаться;Зарек/а́/ть/ся.

Зарекомендованный;За/рекоменд/о́ва/нн/ый.

Зарекомендовать;За/рекоменд/ова́/ть.

Зарекомендовывать;За/рекоменд/о́в/ыва/ть.

Заретушированный;За/ретуш/и́р/ова/нн/ый.

Заретушировать;За/ретуш/и́р/ова/ть.

Заречный;За/ре́ч/н/ый.

Заречье;За/ре́чь/е [й/э].

Заречься;Заре́чь/ся.

Зарешеченный;За/реше́ч/енн/ый.

Зареять;За/ре́/я/ть, за/ре́/ет.

Заржаветь;За/рж/а́в/е/ть и за/рж/ав/е́/ть.

Заржавленный;За/рж/а́вл/енн/ый.

Заржать;За/рж/а́/ть.

Зарисованный;За/рис/о́ва/нн/ый.

Зарисовка;За/рис/о́в/к/а.

Зарисовывание;За/рис/о́в/ыва/ни/е [й/э].

Зариться;За́р/и/ть/ся.

Зарифить;За/ри́ф/и/ть.

Зарифленный;За/ри́фл/енн/ый.

Зарифлять;За/рифл/я́/ть.

Зарифмованный;За/рифм/о́ва/нн/ый.

Зарифмовать;За/рифм/ова́/ть.

Зарница;Зар/ни́ц/а.

Заробеть;За/роб/е́/ть.

Заровненный;За/ро́вн/енн/ый.

Зарёкшийся;Зарёк/ш/ий/ся.

Заволочь;За/воло́чь.

Заволочённый;За/волоч/ённ/ый.

Завонять;За/вон/я́/ть.

Завопить;За/воп/и́/ть.

Заворковать;За/ворк/ова́/ть.

Заворожить;За/ворож/и́/ть.

Заворожённый;За/ворож/ённ/ый.

Заворот;За/воро́т/ (поворот).

Заворот;За́ворот/ (кишо́к).

Завороченный;За/воро́ч/енн/ый (от за/ворот/и́/ть).

Заворчать;За/ворч/а́/ть.

Завотделом;Зав/от/де́л/ом, нескл., м. и ж.

Завраться;За/вр/а́/ть/ся.

Завредакцией;Зав/реда́кц/и/ей, нескл., м. и ж.

Завсегда;За/всегда́.

Завсегдатай;За/всегд/а́тай/.

Завсегдашний;За/всегда́/шн/ий.

Завсектором;Зав/се́ктор/ом, нескл., м. и ж.

Завскладом;Зав/скла́д/ом, нескл., м. и ж.

Завтра;За́втра.

Завтрак;За́втрак/.

Завтракать;За́втрак/а/ть.

Завтрашний;За́втра/шн/ий.

Завуалированный;За/вуал/и́р/ова/нн/ый.

Завуалировать;За/вуал/и́р/ова/ть.

Заштриховка;За/штрих/о́в/к/а.

Заштриховывание;За/штрих/о́в/ыва/ни/е [й/э].

Заштукатуренный;За/штукату́р/енн/ый.

Заштукатурить;За/штукату́р/и/ть.

Заштукованный;За/штуко́ва/нн/ый.

Заштуковать;За/штукова́/ть.

Зашуметь;За/шум/е́/ть.

Зашуршать;За/шурш/а́/ть.

Зашушукаться;За/шу/шу́/ка/ть/ся.

Защебетать;За/щебет/а́/ть.

Защеголять;За/щегол/я́/ть.

Защекотать 1;За/щекот/а́/ть¹ (кого-л.).

Защекотать 2;За/щекот/а́/ть² (начать щекотать).

Защемление;За/щемл/е́ни/е [й/э].

Защемлённый;За/щемл/ённ/ый.

Защепить;За/щеп/и́/ть.

Защеплять;За/щепл/я́/ть.

Защеплённый;За/щепл/ённ/ый.

Защип;За/щи́п/.

Защёлка;За/щёлк/а.

Защёлкать;За/щёлк/а/ть.

Защёлкнутый;За/щёлк/ну/т/ый.

Защёчный;За/щёч/н/ый.

Зудить 1;Зуд/и́/ть¹ (зудеть¹).

Зудить 2;Зуд/и́/ть² (зудеть²).

Зулу;Зу́лу, неизм. и нескл., м, (язык) и нескл., м. и ж. (народ).

Зулус;Зулу́с/.

Зулуска;Зулу́с/к/а.

Зулусский;Зулу́с/ск/ий.

Зуммер;Зу́ммер/.

Зуммерить;Зу́ммер/и́/ть.

Зумпф;Зумпф/.

Зурна;Зурн/а́.

Зурнач;Зурн/а́ч/.

Зурнист;Зурн/и́ст/.

Зуёк;Зуёк/.

Зыбка;Зы́бк/а.

Зыбкий;Зы́б/к/ий.

Зыблемый;Зы́бл/ем/ый.

Зыбун;Зыб/у́н/.

Зыбучий;Зыб/у́ч/ий.

Зыбче;Зы́б/ч/е, сравн. ст. (от зы́бкий, зы́бко).

Зыбь;Зыбь/.

Зык;Зык/.

Зыкать;Зы́к/а/ть.

Зыкнуть;Зы́к/ну/ть.

Зырянин;Зыр/я́н/ин/.

Зырянка;Зыр/я́н/к/а.

Зырянский;Зыр/я́н/ск/ий.

Зычный;Зы́ч/н/ый.

Зэковский;Зэковский — зе́к/ов/ск/ий.

Затяжка;За/тя́ж/к/а.

Затяжной;За/тяж/н/о́й.

Затянутый;За/тя́/ну/т/ый.

Затянуть 1;За/тя/ну́/ть¹ (узел).

Затянуть 2;За/тя/ну́/ть² (песню).

Затянуться;За/тя/ну́/ть/ся (от за/тя/ну́/ть¹).

Заулок;За/у́л/ок/ [ср.: у́л/иц/а, пере/у́л/ок/, зако/у́л/ок/].

Заулыбаться;За/улыб/а́/ть/ся.

Заумничать;За/у́м/н/ич/а/ть.

Заумный;За/у́м/н/ый.

Заумь;За́/умь/.

Заунывный;За/уны́/в/н/ый.

Заупокойный;За/у/поко́й/н/ый.

Заупрямиться;За/упря́м/и/ть/ся.

Зауральский;За/ура́ль/ск/ий.

Заурчать;За/урч/а́/ть.

Заурядный;Зауря́д/н/ый.

Заусенец;Заусе́нец/ и заусе́ниц/а.

Заутра;За/у́тр/а, нареч.

Заутренний;За/у́тр/енн/ий.

Заутреня;За/у́тр/ен/я.

Заутюженный;За/утю́ж/енн/ый.

Заухать;За/ух́/а/ть.

Заученный;За/у́ч/енн/ый.

Знакопечатающий;Знак/о/печа́т/а/ющ/ий.

Знакочередующийся;Знак/о/черед/у́/ющ/ий/ся.

Знаменатель;Знамена́тель/.

Знаменательный;Знамена́тельн/ый.

Знамение;Знаме́ни/е [й/э].

Знаменитость;Знамени́т/ость/.

Знаменитый;Знамени́т/ый.

Знаменный;Зна́м/ен/н/ый (распе́в).

Знаменосец;Знам/е/но́с/ец/.

Знамя;Зна́м/я, зна́м/ен/и.

Знамённый;Знам/ён/н/ый (от зна́м/я).

Знамёнщик;Знам/ён/щик/.

Знание;Зна́/ни/е [й/э].

Знатность;Зна́т/н/ость/.

Знатный;Зна́т/н/ый.

Знаток;Зна/т/о́к/.

Знаточество;Зна/т/о́ч/еств/о.

Знать 1;Зна/ть¹ (противника).

Знать 2;Знать² (вероятно).

Знать 3;Знать/³ (родовитая).

Знаться;Зна́/ть/ся (с кем-л.).

Знахарка;Зна́х/ар/к/а.

Знахарский;Зна́х/ар/ск/ий.

Знахарство;Зна́х/ар/ств/о.

Знахарь;Зна́х/арь/.

Значение;Знач/е́ни/е [й/э].

Значимость;Зна́ч/им/ость/.

Значимый;Зна́ч/им/ый.

Замусоренный;За/му́сор/енн/ый.

Замутнеть;За/мут/н/е́/ть.

Замухрышка;Замухры́шк/а, м. и ж.

Замученный;За/му́ч/енн/ый.

Замша;За́мш/а.

Замшевый;За́мшев/ый.

Замшелый;За/мш/е́л/ый.

Замшеть;За/мш/е́ть.

Замывание;За/мы/ва́/ни/е [й/э].

Замывка;За/мы́/в/к/а.

Замызганный;За/мы́зг/а/нн/ый.

Замыкание;За/мык/а́/ни/е [й/э].

Замыкающий;За/мык/а́/ющ/ий.

Замысел;За́/мысел/.

Замыслить;За/мы́сл/и/ть.

Замысловатость;Замыслова́т/ость/.

Замысловатый;Замыслова́т/ый.

Замытаренный;За/мыта́р/енн/ый.

Закатка;За/ка́т/к/а.

Закатный;За/ка́т/н/ый.

Закаточный;За/ка́т/оч/н/ый.

Закатывание 1;За/ка́т/ыва/ни/е¹ [й/э] (рукавов).

Закатывание 2;За/ка́т/ыва/ни/е² [й/э] (бочки в погреб).

Закачанный;За/ка́ч/а/нн/ый (от за/кач/а́/ть).

Закаченный;За/ка́ч/енн/ый (от за/кат/и́/ть).

Закашлять;За/ка́шл/я/ть.

Закашляться;За/ка́шл/я/ть/ся.

Закаявшийся;За/ка́/я/вш/ий/ся.

Закаяться;За/ка́/я/ть/ся.

Заквакать;За/ква́/ка/ть.

Закваска;За/ква́с/к/а.

Заквашенный;За/ква́ш/енн/ый.

Заквашивание;За/ква́ш/ива/ни/е [й/э].

Закивать;За/кив/а́/ть.

Закиданный;За/ки́д/а/нн/ый.

Закидать 1;За/кид/а́/ть¹ (грязью).

Закидон;За/кид/о́н/.

Закидушка;За/кид/у́шк/а.

Зачернённый;За/черн/ённ/ый.

Зачерпать;За/че́рп/а/ть.

Зачерпнутый;За/че́рп/ну/т/ый.

Зачерствелый;За/черств/е́/л/ый.

Зачерстветь;За/черств/е́/ть.

Зачертить 1;За/черт/и́/ть¹ (лист).

Зачертить 2;За/черт/и́/ть² (начать чертить).

Зачертыхаться;За/чертых/а́/ть/ся.

Зачерченный;За/че́рч/енн/ый.

Зачехлить;За/чехл/и́/ть.

Зачехлённый;За/чехл/ённ/ый.

Зачин;За/чи́н/.

Зачинатель;За/чин/а́/тель/.

Зачинательница;За/чин/а́/тель/ниц/а.

Зачинать 1;Зачин/а́/ть¹ (от зача́/ть¹).

Зачёс;За/чёс/.

Зачёсанный;За/чёс/а/нн/ый.

Зачёт;За/чёт/.

Зачётка;За/чёт/к/а.

Зачётный;За/чёт/н/ый.

Заслеплять;За/слепл/я́/ть.

Заслон;За/сло́н/.

Заслонка;За/сло́н/к/а.

Заслоночный;За/сло́н/оч/н/ый.

Заслонённый;За/слон/ённ/ый.

Заслуга;За/слу́г/а.

Заслуженный;Заслу́ж/енн/ый.

Заслушанный;За/слу́ш/а/нн/ый.

Заслюнявленный;За/слюн/я́вл/енн/ый.

Заслюнённый;За/слюн/ённ/ый.

Засмеянный;За/сме́/я/нн/ый.

Засмолённый;За/смол/ённ/ый.

Засморканный;За/смо́рк/а/нн/ый.

Засморкать;За/сморк/а́/ть.

Засморкаться;За/сморк/а́/ть/ся.

Засмотреться;За/смотр/е́/ть/ся.

Заделывание;За/де́л/ыва/ни/е [й/э].

Задеревенелый;За/дерев/ен/е́/л/ый.

Задеревенеть;За/дерев/ен/е́/ть.

Задержание;За/держ/а́/ни/е [й/э].

Задержанный;За/де́рж/а/нн/ый.

Задерживание;За/де́рж/ива/ни/е [й/э].

Задержка;За/де́рж/к/а.

Задернованный;За/дерн/о́ва/нн/ый.

Задерновать;За/дерн/ова́/ть.

Задерновывать;За/дерн/о́в/ыва/ть.

Задетый;Заде́/т/ый.

Задеть;Заде́/ть, заде́/н/у.

Задешево;За́/дешев/о и за/дёшев/о, нареч.

Задира;За/ди́р/а, м. и ж.

Задиристый;За/ди́р/ист/ый.

Задичать;За/дич/а́/ть.

Заднежаберный;Зад/н/е/жа́бер/н/ый.

Задненёбный;Зад/н/е/нёб/н/ый.

Задёрганный;За/дёрг/а/нн/ый.

Задёргать 1;За/дёрг/а/ть¹ (измучить).

